Name,Title,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Custom Menu Item Action,Custom Menu Item Text,Description,Eigenvector Centrality,Favorites,Followed,Followers,ID,Image File,In-Degree,Joined Twitter Date (UTC),Label,Layout Order,Location,louvain,Opacity,Out-Degree,PageRank,Reciprocated Vertex Pair Ratio,Shape,Size,Time Zone,Time Zone UTC Offset (Seconds),Tooltip,Tweets,Web,X,Y
recount doesn't sound too bad to
you now",467,,3153.03442382813,3806.40209960938
exodus_2011,exodus_2011,127.478484,0.000577,0.157894736842105,http://twitter.com/exodus_2011,Open Twitter Page for This Person,Governor Sarah Palin supporter,4.8E-05,850,217,920,339,http://a0.twimg.com/profile_images/2978208230/6776ec9594303103281a4c153a887a10_normal.png,16,1/30/2011 4:56:19 AM,exodus_2011,26.6070645093039,NZ,1.0,99.9231634391599,6,0.839121,0.157894736842105,Image,70.6690763570645,,,"exodus_2011

RT @thomasj17431826: STOP READ
RT: ISLAMIC EXTREMISTS POISED TO
CROSS MEXICO-USA BORDER BRINGING
TERROR TO USA http://t.co/h8zfgPam
#women #college #tcot #my2k",47272,,2204.4951171875,6892.23876953125
NoJobsNoPeace,NoJobsNoPeace,17.375427,0.000555,0.15,http://twitter.com/NoJobsNoPeace,Open Twitter Page for This Person,A society that puts equality before freedom will get neither. A society that puts freedom before equality will get a high degree of both. -Milton Friedman,2.8E-05,145,359,761,439,http://a0.twimg.com/profile_images/2873618687/3d6ae4c75ce3b38a61eac997aaeebf2d_normal.png,2,7/14/2009 10:27:00 PM,NoJobsNoPeace,22.1814957517177,Everywhere,1.0,99.9364428013051,5,0.39044,0,Image,60.5295294649196,Eastern Time (US & Canada),-18000,"NoJobsNoPeace

NO amount of time or distractions
WILL WASH AWAY THE BLOOD OF THE
#BENGHAZI 4 FROM #OBAMA 'S HANDS
#BENGHAZIFOUR #SEALS #LIBYA #my2k
#opslam",14197,,3298.75634765625,7549.5576171875
jeff28w,jeff28w,7.027276,0.000525,0.5,http://twitter.com/jeff28w,Open Twitter Page for This Person,"Christian, Conservative, Techy, Investor",1.6E-05,51,25,294,473,http://a0.twimg.com/profile_images/611793532/jw01_normal.jpg,7,10/21/2009 8:34:44 PM,jeff28w,9.18312713666886,Midwest USA,1.0,99.9754457077315,1,0.416131,0,Image,30.7485961401923,Eastern Time (US & Canada),-18000,"jeff28w

Two-thirds of UK millionaires expatriated
after the last tax hike. Why won't
the same happen in the US? #my2k",723,,2831.85473632813,5091.244140625
Song4Jazz,Song4Jazz,3.097064,0.000537,0.433333333333333,http://twitter.com/Song4Jazz,Open Twitter Page for This Person,ALEC Watchdog~ Pet Nanny~Mosaic Artist~Wife~Mother~Psychic/Medium~ 60 years old and a Proud Liberal with an old Hippie attitude~Welcome to Liberal America,0.001049,1,136,81,501,http://a0.twimg.com/profile_images/2827778649/7f7a25fa42a2b80571e95d6c3a0e6e67_normal.jpeg,6,9/6/2012 8:21:37 PM,Song4Jazz,3.25453502744958,"Santa Barbara, California",2.0,99.993235041926,7,0.340933,0.833333333333333,Image,17.1654295488285,Pacific Time (US & Canada),-28800,"Song4Jazz

President Obama has the right to
invoke 14th amendments which states
it must pay it's past bills. #GOP
#obamahasthepen #MY2K",1613,,8571.818359375,4524.19580078125
damspahn,damspahn,1329.375502,0.000566,0.252571082879613,http://twitter.com/damspahn,Open Twitter Page for This Person,"Writer and novelist. Passionately progressive, 99%, anti @NRA and Tea Party, green Democrat.  Fan of non-corporate news. #1u #p2 #P21 #tprog #p2b #my2k #mi",0.006242,11,1950,1720,119,http://a0.twimg.com/profile_images/1263096490/Snow_dog_normal.jpg,43,3/5/2011 5:06:25 PM,damspahn,48.8740771260899,USA,2.0,99.8563490384294,44,1.782222,0.46551724137931,Image,121.685664493642,Pacific Time (US & Canada),-28800,"damspahn

RT @Mozi_N: The Republican Party
Resolves to Destroy Middle Class
Once and For All in 2013 http://t.co/gC0mO92i
#GOPMedicareKillers #p2 #p2b #FB
#My2K",9753,,7120.57568359375,4703.11279296875
gopmommy,gopmommy,926.425998,0.000615,0.143049932523617,http://twitter.com/gopmommy,Open Twitter Page for This Person,It puts the lotion on its skin or else it gets the hose again.  #TDGN,0.000106,420,944,6172,165,http://a0.twimg.com/profile_images/1169784374/Jen_normal.jpg,34,1/31/2009 5:55:21 AM,gopmommy,172.790002338504,gopmommy@netzero.com,1.0,99.4845268983642,13,1.558207,0.205128205128205,Image,405.592977473698,Central Time (US & Canada),-21600,"gopmommy

RT @pfoad: #DearRegretfulOVoters
How's that #My2K workin for you?
Wait till you see your "FREE" healthcare.Bet
recount doesn't sound too bad to
you now",12787,,3177.53295898438,4530.66455078125
indalay1952,indalay1952,203.679794,0.000589,0.321428571428571,http://twitter.com/indalay1952,Open Twitter Page for This Person,"Patriot, Happy Warrior and lover of lobster and bacon - also have a crush on @greggutfeld #tcot #TGDN",6.6E-05,8,1224,864,292,http://a0.twimg.com/profile_images/2454110132/d28qw1dyiwmg8uln4jp7_normal.jpeg,12,1/16/2009 7:50:02 PM,indalay1952,25.0483736261289,,1.0,99.9278404472111,21,0.879969,0.571428571428571,Image,67.097915187504,Atlantic Time (Canada),-14400,"indalay1952

RT @pfoad: #DearRegretfulOVoters
How's that #My2K workin for you?
Wait till you see your "FREE" healthcare.Bet
recount doesn't sound too bad to
you now",1550,,3462.73046875,3760.39501953125
PinkkrushG,PinkkrushG,26.655251,0.000541,0.1,http://twitter.com/PinkkrushG,Open Twitter Page for This Person,Queen Bee @Pink Krush Air Brush Tanning & Beauty Bar!! Conservative Republican Love my Country!,2.3E-05,41,157,116,408,http://a0.twimg.com/profile_images/2625319503/image_normal.jpg,5,10/24/2011 12:27:08 PM,PinkkrushG,4.22871682943397,Great Neck New York,1.0,99.9903119118941,3,0.433047,0,Image,19.3974052798038,Quito,-18000,"PinkkrushG

How's that #My2K workin for you?
Wait till you see your "FREE" healthcare.Bet
recount doesn't sound too bad to
you now",314,http://pinkkrushbeauty.com,1697.41845703125,2936.28491210938
tironsi75fromNJ,tironsi75fromNJ,1033.558479,0.000626,0.4,http://twitter.com/tironsi75fromNJ,Open Twitter Page for This Person,enjoy life till you can,0.001585,69,1256,479,153,http://a0.twimg.com/profile_images/2508702226/kzz9vtcfbvtqfwh72s3a_normal.jpeg,9,8/5/2012 8:23:13 PM,tironsi75fromNJ,14.3323738043006,new jersey,2.0,99.9599948775626,11,0.440657,0.818181818181818,Image,42.546182146776,Atlantic Time (Canada),-14400,"tironsi75fromNJ

RT @areyou0: President Barack Obama
is a devoted American, devoted
Christian, committed service to
all Americans! #My2k",1758,,8393.7822265625,7516.50048828125
Eyesbtrolling,Eyesbtrolling,0,0.00049,0,http://twitter.com/Eyesbtrolling,Open Twitter Page for This Person,"God,Faith,Family,Fishing,Hunting,Country!",7E-06,35,44,18,684,http://a0.twimg.com/profile_images/2621004552/image_normal.jpg,2,9/17/2012 4:26:50 AM,Eyesbtrolling,1.50100778387769,Pennsylvania,1.0,99.9984966759836,2,0.334015,1,Image,13.147873233073,,,"Eyesbtrolling

RT @JC7109: Pelosi urges Obama
to sidestep Congress, use 14th
Amendment to raise debt ceiling
http://t.co/XoE9kbSu #tcot #my2k",211,,736.934753417969,5893.08935546875
Mozi_N,Mozi_N,3768.142487,0.000615,0.194242424242424,http://twitter.com/Mozi_N,Open Twitter Page for This Person,"United We Stand-Divided We Fall...They Win--We Lose..We Are All In This Together.  They Are Waging A WAR On The 99%, AndOneWeCannot Afford2Lose. All-Way2Left",0.009583,750,1111,2136,45,http://a0.twimg.com/profile_images/1814545492/STP-060_Scorpio__normal.jpg,92,9/11/2011 8:45:05 PM,Mozi_N,60.4529236868186,YouSA,2.0,99.8216055500496,64,2.970696,0.54,Image,148.214290324663,Eastern Time (US & Canada),-18000,"Mozi_N

RT @Anon_Valkyrie: @Mozi_N The
Poorest States in America are GOP
'Right-to-Work' States http://t.co/vWyY6RgP
#My2K #RightToWorkForLess #RTW
#p2 #tcot #FF #P2P"",40664,,7419.97998046875,6226.36767578125
Prettypatty9,Prettypatty9,3013.986393,0.000615,0.297945205479452,http://twitter.com/Prettypatty9,Open Twitter Page for This Person,Start being involved NOW! We can take 2014 and rebuild country! Have faith,0.008561,8368,2600,2363,61,http://a0.twimg.com/profile_images/3069627856/66919cf453c2b9433ab04bccd0dffb9e_normal.jpeg,59,4/11/2012 2:19:18 PM,Prettypatty9,66.7711885168317,New York City,2.0,99.8026469638423,70,2.048713,0.73972602739726,Image,162.690247208417,,,"Prettypatty9

RT @Mozi_N: Stay informed on #ALEC’s
model bills and the legislators
pushing them at http://t.co/TL7kiZIK
#GOPMedicaidKillers #p2 #fb #OWS
#My2K",39212,,7962.3935546875,5533.45556640625
nescdem,nescdem,182.850015,0.000565,0.427053140096618,http://twitter.com/nescdem,Open Twitter Page for This Person,"Stay at home mom, liberal, prog, supports all #Occupiers & #Anons! Husband is VFW retired LTC, USAF & American Hero! 9 yr old son future Liberal leader! ☺",0.0064,274,2482,2260,304,http://a0.twimg.com/profile_images/1917608847/d08c71d3-8879-44ac-9023-fe342786ed7b_normal.png,37,7/26/2011 6:07:38 PM,nescdem,63.9043106424205,Midwest,2.0,99.8112493179363,45,1.305869,0.739130434782609,Image,156.121861485832,,,"nescdem

RT @Mozi_N: Scott Walker&amp;Jan
Brewer are members of ALEC.Boehner
&amp; Cantor are ALEC members.
They don't represent you, they
represent ALEC! #OWS #My2K",107386,,7482.34326171875,6946.9580078125
INIVISIBLE,INIVISIBLE,119.534162,0.000541,0.268518518518519,http://twitter.com/INIVISIBLE,Open Twitter Page for This Person,,0.003213,1011,851,198,344,http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png,15,1/23/2011 5:07:11 PM,INIVISIBLE,6.51108562265454,,2.0,99.9834634358192,27,0.901025,0.428571428571429,Image,24.626605563803,,,"INIVISIBLE

RT @Mozi_N: Beware of #ALEC's Agenda
of Corporations2Silently Change
America's Laws One State at a time!VoterID-RightToWork-Limit
Injury Claims #My2K",6416,,6741.57421875,5037.7216796875
prc4aam,prc4aam,117.342466,0.000567,0.336923076923077,http://twitter.com/prc4aam,Open Twitter Page for This Person,"Politics, Rants, Causes, Authors get FREE Listings. Liberal/Progressive ONLY? 

Follow Rule: http://tinyurl.com/7xljszh",0.003598,859,1958,1091,346,http://a0.twimg.com/profile_images/2275488845/wvtyjllaqq12p9o2rblp_normal.jpeg,24,2/6/2011 6:51:07 AM,prc4aam,31.3666384561419,Florida,2.0,99.9088818610038,24,0.848714,0.769230769230769,Image,81.573872071258,Eastern Time (US & Canada),-18000,"prc4aam

RT @Mozi_N: Beware of #ALEC's Agenda
of Corporations2Silently Change
America's Laws One State at a time!VoterID-RightToWork-Limit
Injury Claims #My2K",17806,http://www.pressreleasecentral.info,6908.65673828125,6944.693359375
johnfurmanutica,johnfurmanutica,1.939286,0.000473,0.444444444444444,http://twitter.com/johnfurmanutica,Open Twitter Page for This Person,"Community/Labor Activist, Housing/Community Development Practitioner, Grant Writer, Committed to Social & Economic Justice, Located in Utica, NY",0.001364,844,1846,415,515,http://a0.twimg.com/profile_images/1741754356/Furman_John_Photo_on_1-8-12_at_12.18_PM__2_2_normal.jpg,8,2/11/2011 4:40:05 AM,johnfurmanutica,12.5510127949577,"Utica, New York   USA",2.0,99.965340029621,9,0.402633,0.666666666666667,Image,38.4648550958497,Central Time (US & Canada),-21600,"johnfurmanutica

RT @Mozi_N: #ALEC plan to dismantle
public educations Nationwide with
Implementing Special Needs Educations!
Private Profiteer is their motive!
#My2K",1490,,7079.0439453125,3730.96923828125
mortgageconsult,mortgageconsult,888.815913,0.000594,0.334599649327878,http://twitter.com/mortgageconsult,Open Twitter Page for This Person,"ProgressForward;Mtge Banker/CMA,Trust Manager- pamlavinka@hotmail.com newsletter sub",0.007275,131,1188,867,172,http://a0.twimg.com/profile_images/110785843/PAMPICJPEG_normal.JPG,46,3/26/2009 3:27:36 PM,mortgageconsult,25.1318749234418,Chicago,2.0,99.9275898932083,58,1.720819,0.728813559322034,Image,67.2892273930162,Central Time (US & Canada),-21600,"mortgageconsult

RT @KnowDTruth44: @SpeakerBoehner
@RepDaveCamp. Spend cuts start
w/CORPORATE WELFARE, BLOATED DOD,
"NATION BUILDING" OVERSEAS, OVERSEAS
TAX HAVENS #p2 #My2k",18767,,7094.5078125,5810.60693359375
Lavender4Peace,Lavender4Peace,146.013145,0.000509,0.256666666666667,http://twitter.com/Lavender4Peace,Open Twitter Page for This Person,"Obama 2012, House 2014, Progressive, Liberal Democrat, Open-minded Christian, Lavender Grower, Chef",0.002621,3270,786,405,324,http://a0.twimg.com/profile_images/3024814100/7ae1ccdca6b0c962c5562433502bf6e4_normal.jpeg,23,10/4/2012 11:06:27 PM,Lavender4Peace,12.2726751372479,California,2.0,99.9661752096302,26,0.846832,0.88,Image,37.8271477441425,Pacific Time (US & Canada),-28800,"Lavender4Peace

RT @Mozi_N: #ALEC plan to dismantle
public educations Nationwide with
Implementing Special Needs Educations!
Private Profiteer is their motive!
#My2K",1782,,6670.0625,7079.45654296875
CDonthelake,CDonthelake,563.311122,0.000583,0.312896405919662,http://twitter.com/CDonthelake,Open Twitter Page for This Person,"Retired, conductor on freight trains for 35 years, United Transportation Union, a car nut!",0.005347,4269,2004,884,204,http://a0.twimg.com/profile_images/2993535938/f6cf4d6f84e5eece8fc9c3ca294a9eda_normal.jpeg,33,11/15/2011 2:04:07 PM,CDonthelake,25.6050489415485,"The Lake of the Ozarks, MO.",2.0,99.9261700871928,38,1.317527,0.568181818181818,Image,68.3733298909185,,,"CDonthelake

RT @Mozi_N: Stay informed on #ALEC’s
model bills and the legislators
pushing them at http://t.co/TL7kiZIK
#GOPMedicaidKillers #p2 #fb #OWS
#My2K",33166,,6970.5029296875,6344.78515625
bobbiebarnhill,bobbiebarnhill,630.739721,0.000591,0.315573770491803,http://twitter.com/bobbiebarnhill,Open Twitter Page for This Person,"Love President Obama/Biden. Working on Voter Registration, and defeating Gerrymandering. In Ohio help us oust; Kasich, Husted, Mandel, and Dewine",0.00733,232,1992,1021,196,http://a0.twimg.com/profile_images/2900265433/e5539e3cbfd079f37ec3c07d080a918a_normal.jpeg,51,9/29/2011 11:27:43 PM,bobbiebarnhill,29.4182748521731,,2.0,99.9147281210677,52,1.726423,0.655737704918033,Image,77.1099206093074,Atlantic Time (Canada),-14400,"bobbiebarnhill

RT @KnowDTruth44: @SpeakerBoehner
@RepDaveCamp. Spend cuts start
w/CORPORATE WELFARE, BLOATED DOD,
"NATION BUILDING" OVERSEAS, OVERSEAS
TAX HAVENS #p2 #My2k",23303,,8059.1162109375,5796.5322265625
TheSonyaB,TheSonyaB,0,0,0,http://twitter.com/TheSonyaB,Open Twitter Page for This Person,Armchair activist with lot to say; Joe Scarborough Demo; Toure' twitter disciple; couch parent of 2; joy of my husband's life.,0,71,181,24,566,http://a0.twimg.com/profile_images/2991752449/8b39001105942114305b2ad8c7ecfecc_normal.png,1,9/22/2012 2:03:39 PM,TheSonyaB,1.66801037850358,,3.0,99.9979955679781,1,0.999999,Not Applicable,Image,13.5304976440973,Central Time (US & Canada),-21600,"TheSonyaB

RT @Mozi_N: Beware of #ALEC's Agenda
of Corporations2Silently Change
America's Laws One State at a time!VoterID-RightToWork-Limit
Injury Claims #My2K",886,,6319.33544921875,1626.47485351563
rich3438,rich3438,185.024326,0.000577,0.368292682926829,http://twitter.com/rich3438,Open Twitter Page for This Person,Retired USAF Vietnam Veteran.,0.005564,12,2001,1200,303,http://a0.twimg.com/profile_images/1032560351/WyyQRxVF_normal,18,5/2/2010 1:46:40 AM,rich3438,34.400518925179,,2.0,99.8997783989042,41,1.183481,0.390243902439024,Image,88.5248822048667,,,"rich3438

RT @Mozi_N: What's the worst thing
the Koch brothers have done? http://t.co/gqpWBY6c
#OWS #My2K",12536,,7928.67822265625,6779.49609375
PatrickECooley,PatrickECooley,78.672603,0.000552,0.428571428571429,http://twitter.com/PatrickECooley,Open Twitter Page for This Person,"Er...Animal, vegetable, and mineral. Born at 3:00 a.m. on March 1rst, 1972, at Squamish General Hospital. A few things have occurred [sic] since then.",0.003076,18205,1999,1161,367,http://a0.twimg.com/profile_images/2614288943/image_normal.jpg,20,3/10/2011 5:27:55 AM,PatrickECooley,33.3150020601107,"Canada, British Columbia",2.0,99.9030356009399,23,0.727525,0.863636363636364,Image,86.0378235332086,Pacific Time (US & Canada),-28800,"PatrickECooley

RT @Mozi_N: Beware of #ALEC's Agenda
of Corporations2Silently Change
America's Laws One State at a time!VoterID-RightToWork-Limit
Injury Claims #My2K",33447,http://www.facebook.com/patrick.e.cooley,8065.94775390625,4238.65673828125
CAFalk,CAFalk,8218.239682,0.000651,0.192,http://twitter.com/CAFalk,Open Twitter Page for This Person,"Liberty and Justice for All 
Activist #connecttheleft #p2 #wiunion #1u #ows 
Psychotherapist
Gardener
Liberal Progressive
Grandma",0.012046,124,8674,7893,20,http://a0.twimg.com/profile_images/1315383727/ebe4ddc1-0a97-4646-ae98-0239195baa59_normal.png,113,6/21/2009 6:34:40 PM,CAFalk,220.691913230365,Wisconsin,2.0,99.3407924187927,67,3.641962,0.412698412698413,Image,515.342412702511,Central Time (US & Canada),-21600,"CAFalk

Please Share:Robert Reich (The
Hoax of Entitlement Reform) http://t.co/vHZBRX8y
#Connecttheleft #p2 #wiunion #1u
#ows #my2k",155212,http://www.facebook.com/home.php?ref=home,7623.1982421875,6417.93798828125
Truthbuster,Truthbuster,3163.425856,0.000606,0.215851376637263,http://twitter.com/Truthbuster,Open Twitter Page for This Person,"Old liberal cat with kitten's heart. Mktg Consultant. Value American Constitutional Democracy. Hate bigots, liars & fakes. #Obama2012 #Connecttheleft",0.008889,16,5466,6169,59,http://a0.twimg.com/profile_images/1307230772/5dc61ca4-4c71-46a6-9675-3e0b7490f633_normal.png,84,3/21/2010 12:07:35 AM,Truthbuster,172.706501041191,"New York, NY",2.0,99.4847774523669,46,2.569367,0.471264367816092,Image,405.401665268186,,,"Truthbuster

RT @CAFalk: Please Share:Nominate
Paul Krugman for Treasury Secretary
http://t.co/m5PwXxVr @signon #Connecttheleft
#wiunion #p2 #ows #my2k #Forward",44760,,7889.345703125,5972.263671875
Susan_Palmer_64,Susan_Palmer_64,283.228428,0.000554,0.351551956815115,http://twitter.com/Susan_Palmer_64,Open Twitter Page for This Person,"Finally engaging in politics.  Progressive Liberal and learning.  Humanity, kindness and love are all important, but so is advocating beliefs to help us all!",0.005248,70,915,379,260,http://a0.twimg.com/sticky/default_profile_images/default_profile_2_normal.png,29,11/5/2012 3:25:39 PM,Susan_Palmer_64,11.5489972272024,"Yakima, WA",2.0,99.9683466776539,40,1.178901,0.717948717948718,Image,36.1691086297037,Pacific Time (US & Canada),-28800,"Susan_Palmer_64

RT @Mozi_N: #ALEC plan to dismantle
public educations Nationwide with
Implementing Special Needs Educations!
Private Profiteer is their motive!
#My2K",1646,,7547.07958984375,4578.6005859375
teachermom50,teachermom50,114.901243,0.000531,0.25974025974026,http://twitter.com/teachermom50,Open Twitter Page for This Person,"I support teachers, police, and firefighters.  They are the backbone of this country!",0.002345,13,252,390,348,http://a0.twimg.com/profile_images/2616150785/image_normal.jpg,23,9/1/2012 4:48:37 PM,teachermom50,11.8551686506832,,2.0,99.9674279796439,15,0.766445,0.636363636363636,Image,36.8705867165817,,,"teachermom50

RT @Mozi_N: #ALEC plan to dismantle
public educations Nationwide with
Implementing Special Needs Educations!
Private Profiteer is their motive!
#My2K",6451,,8285.1953125,4429.28271484375
EnigmaNetxx,EnigmaNetxx,108.66273,0.000557,0.310483870967742,http://twitter.com/EnigmaNetxx,Open Twitter Page for This Person,"Proud BabyBoomer,& GrandMother with Social Entrepreneurial Goals
New Concepts/Product Designer
Created A New Application for AUTO-Safety and Missing Persons",0.003741,103814,218,1426,351,http://a0.twimg.com/profile_images/3051404420/140e077f6cb8e9ac0ac7fabde89cbbd6_normal.jpeg,32,7/13/2010 2:31:52 AM,EnigmaNetxx,40.6909499894211,CALIFORNIA,2.0,99.8809033306979,11,0.974009,0.28125,Image,102.93706835345,Pacific Time (US & Canada),-28800,"EnigmaNetxx

RT @Mozi_N: Tell ALEC Companies:
@HSBC @FedEx @Conoco @Comcast @Chevron
@Amex @att #Reynolds @Pfizer to
Stand Down. #BOYCOTT! #OWS #My2K",130389,http://www.wix.com/symbolikdeafrique/recovalert-jewelry-collection,7872.26708984375,7396.71728515625
LadyM3033,LadyM3033,224.488544,0.000495,0,http://twitter.com/LadyM3033,Open Twitter Page for This Person,Waking People up... Love Truth :),0.000158,587,456,178,286,http://a0.twimg.com/profile_images/3059542641/e472f1b2d9475a796464248253d869e2_normal.jpeg,2,7/21/2011 8:13:50 AM,LadyM3033,5.95441030723489,,2.0,99.9851337958375,3,0.258079,0.666666666666667,Image,23.3511908603886,Central Time (US & Canada),-21600,"LadyM3033

RT @damspahn: Big Oil Gets Off
Scott Free in Fiscal Cliff Deal.
http://t.co/OQN9bbKl #p2 #1u #teaparty
#tcot #tprog #tlot #ows #my2k",18297,,7578.62939453125,2510.666015625
miracle2x,miracle2x,11.541118,0.000513,0.296703296703297,http://twitter.com/miracle2x,Open Twitter Page for This Person,"Like to discuss current events, politics.",0.00175,54,282,336,457,http://a0.twimg.com/profile_images/1769808005/image_normal.jpg,12,4/30/2011 11:25:14 AM,miracle2x,10.3521452990501,,2.0,99.9719379516932,10,0.528121,0.428571428571429,Image,33.4269670173627,,,"miracle2x

RT @Mozi_N: @miracle2x The Kochs,
A Nazi Past, Oil &amp; The Foundation
of The Right http://t.co/BWVshEjV
#OWS #FB #P2 #P2P Via http://t.co/iXerU938
#My2K",17858,,6591.189453125,4580.255859375
Jodjac33,Jodjac33,187.707553,0.000572,0.334677419354839,http://twitter.com/Jodjac33,Open Twitter Page for This Person,Doing what i can to ensure the world is a habitable place for my kids. don't believe in science? -don't run for office.,0.004035,1239,2001,751,298,http://a0.twimg.com/profile_images/1210986640/image_normal.jpg,21,10/13/2010 1:42:15 AM,Jodjac33,21.9031580940079,,2.0,99.9372779813142,32,0.964694,0.65625,Image,59.8918221132124,,,"Jodjac33

RT @Mozi_N: @miracle2x The Kochs,
A Nazi Past, Oil &amp; The Foundation
of The Right http://t.co/BWVshEjV
#OWS #FB #P2 #P2P Via http://t.co/iXerU938
#My2K",6127,,8019.71630859375,4462.50732421875
TimKahanek,TimKahanek,1672.626916,0.000634,0.191500256016385,http://twitter.com/TimKahanek,Open Twitter Page for This Person,constitutional conservative - RISE!,0.000189,80,2089,2004,101,http://a0.twimg.com/profile_images/2976017794/5bb9d90eef1b65a4977f1e5845f016e0_normal.png,45,6/16/2012 8:44:27 PM,TimKahanek,56.7788666050489,S Texas,1.0,99.8326299261701,64,2.414104,0.698412698412698,Image,139.796553282127,Central Time (US & Canada),-21600,"TimKahanek

RT @Kerryepp: Ya think? “@Panic_Report:
#DearRegretfulOVoters Maybe listening
to Hollywood was a bad idea.” #my2k
#tcot",8794,,2227.5732421875,5161.34130859375
roz233,roz233,199.9443,0.00058,0.34047619047619,http://twitter.com/roz233,Open Twitter Page for This Person,"Realtor by profession, dancer & artist by heart, love animals. Big Haley Reinhart fan. Best Idol ever, destined 4 super stardom. ff 12 9 11. Pro Dem Obama 2012",0.004865,896,1564,1011,294,http://a0.twimg.com/profile_images/1633205380/Roz_no_b_fnl_scan0039_normal.jpg,31,10/24/2009 8:07:05 PM,roz233,29.1399371944633,"Wonderland, New Jersey",2.0,99.9155633010768,33,1.095866,0.722222222222222,Image,76.4722132576002,Mid-Atlantic,-7200,"roz233

RT @Mozi_N: @roz233 The Kochs,
A Nazi Past, Oil &amp; The Foundation
of The Right http://t.co/BWVshEjV
#OWS #FB #P2 #P2P Via http://t.co/iXerU938
#My2K",27836,,7025.5078125,6849.55517578125
lavenderblue27,lavenderblue27,5331.100146,0.000644,0.324324324324324,http://twitter.com/lavenderblue27,Open Twitter Page for This Person,"Fairness, human rights & laughter, I think for myself, speak my mind, avid MSNBC/Current/Olbermann, Beatles, Jack Reacher fan. Obama!",0.004899,2626,1985,1167,32,http://a0.twimg.com/profile_images/2807156571/40ada2eca57d10c6c6529f11449dbd0c_normal.png,27,6/5/2009 6:32:00 PM,lavenderblue27,33.4820046547366,"portland, oregon",2.0,99.9025344929344,26,1.222187,0.342105263157895,Image,86.4204479442329,Monterrey,-21600,"lavenderblue27

RT @Mozi_N: @KlassenL The Kochs,
A Nazi Past, Oil &amp; The Foundation
of The Right http://t.co/BWVshEjV
#OWS #FB #P2 #P2P Via http://t.co/iXerU938
#My2K",60090,,6800.884765625,6156.65380859375
rencal4,rencal4,267.356379,0.000615,0.219354838709677,http://twitter.com/rencal4,Open Twitter Page for This Person,LOVE MY FAMILY!!!  CONSERVATIVE CHRISTIAN!!!   I SUPPORT THE CONSTITUTION   #TCOT  #TEAPARTY  #RUSH,0.000107,2,1810,1842,266,http://a0.twimg.com/profile_images/2824614031/56779f6691e450196aefb6979e89386f_normal.jpeg,20,4/20/2011 5:28:41 PM,rencal4,52.2697965501498,Indiana,1.0,99.846159842318,28,1.226426,0.483870967741936,Image,129.46569418447,,,"rencal4

RT @Kerryepp: MT “@ken24xavier:
Al Gore cry's about BUSH TAX CUT
then rams sale through to TAKE
ADVANTAGE of Bush Tax cuts” #my2k
#tcot #LNYHBT",18939,,2976.03393554688,5601.44482421875
netminnow,netminnow,192.704937,0.000544,0.25,http://twitter.com/netminnow,Open Twitter Page for This Person,,0.001595,4894,873,894,296,http://a0.twimg.com/profile_images/2233443900/maloti_minnow_normal.jpg,17,1/23/2011 8:40:29 PM,netminnow,25.8833865992584,,2.0,99.9253349071837,6,0.619555,0.3125,Image,69.0110372426257,Eastern Time (US & Canada),-18000,"netminnow

RT @Mozi_N: How You Can Boycott
The #Koch's; http://t.co/yEwcxKgl
Do It #POTUS #OWS #My2K",72426,,8720.40625,6094.69140625
DaleF3,DaleF3,6700.389647,0.000655,0.383928571428571,http://twitter.com/DaleF3,Open Twitter Page for This Person,"Married 24 yrs to great veteran. Proud mother of 3, grandmother of 4. We are the 99%. Husband a 99er. We are also the poor 15%. . . Truth, Freedom & Patriotism",0.006704,7046,1719,1142,23,http://a0.twimg.com/profile_images/1900930402/Picture_4_normal.jpg,36,4/14/2009 8:54:35 PM,DaleF3,32.786160510462,"Auburn, California",2.0,99.9046224429572,44,1.412782,0.591836734693878,Image,84.8261795649648,Pacific Time (US & Canada),-28800,"DaleF3

RT @Mozi_N: How You Can Boycott
The #Koch's; http://t.co/yEwcxKgl
Do It #POTUS #OWS #My2K",17277,http://paper.li/DaleF3/1332775539#,7068.22216796875,5143.416015625
billgcta,billgcta,1.796118,0.000481,0.5,http://twitter.com/billgcta,Open Twitter Page for This Person,"Communications Consultant with the California Teachers Association working in media relations, PR and training",0.000516,15,434,656,519,http://a0.twimg.com/profile_images/2920934417/64460110ea290255d5b9f0c0e8b35201_normal.jpeg,4,1/22/2009 5:40:21 AM,billgcta,19.2589503457645,"San Diego, California",2.0,99.945212191401,4,0.309263,0.5,Image,53.8336022719938,Pacific Time (US & Canada),-28800,"billgcta

RT @CAFalk: Please Share:Nominate
Paul Krugman for Treasury Secretary
http://t.co/m5PwXxVr @signon #Connecttheleft
#wiunion #p2 #ows #my2k #Forward",12362,,7510.20458984375,8814.69140625
